Attaching 8 probes...
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 332, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 3, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 391, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 6, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 391, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 413, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 3, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 413, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 413, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 33, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 33, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 39, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 39, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 39, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 44, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 52, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 52, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 61, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 75, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 79, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 89, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 105, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 15, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 112, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 123, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 129, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 129, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 129, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 129, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 129, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 133, chunk_alloc: 0
