Attaching 6 probes...
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 322, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 12, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 12, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 39, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 1, bgs_tried: 332, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 1, chunk_alloc: 0
ffe completed. retval: 0, success: 1, loops: 0, bgs_tried: 2, chunk_alloc: 0
