Devid PNumber      Type/profile         PStart     Length           PEnd LNumber         LStart Usage%
----- ------- ----------------- -------------- ---------- -------------- ------- -------------- ------
    1       2     System/DUP          22020096    8388608       30408704       1       22020096  11.13
    1       3     System/DUP          30408704    8388608       38797312       2       22020096  11.13
    1       4   Metadata/DUP          38797312 1073741824     1112539136       3       30408704  73.64
    1       5   Metadata/DUP        1112539136 1073741824     2186280960       4       30408704  73.64
    1       6       Data/single     2186280960 1073741824     3260022784       5     1104150528  99.52
    1       7       Data/single     3260022784 1073741824     4333764608       6     2177892352 100.00
    1       8       Data/single     4333764608 1073741824     5407506432       7     3251634176 100.00
    1       9       Data/single     5407506432 1073741824     6481248256       8     4325376000 100.00
    1      10       Data/single     6481248256 1073741824     7554990080       9     5399117824  99.40
    1      11       Data/single     7554990080 1073741824     8628731904      10     6472859648  99.81
    1      12       Data/single     8628731904 1073741824     9702473728      11     7546601472  99.72
    1      13       Data/single     9702473728 1073741824    10776215552      12     8620343296  99.80
    1      14       Data/single    10776215552 1073741824    11849957376      13     9694085120  99.69
    1      15       Data/single    11849957376 1073741824    12923699200      14    10767826944  99.57
    1      16       Data/single    12923699200 1073741824    13997441024      15    11841568768  99.80
    1      17       Data/single    13997441024 1073741824    15071182848      16    12915310592  99.80
    1      18       Data/single    15071182848 1073741824    16144924672      17    13989052416  99.59
    1      19       Data/single    16144924672 1073741824    17218666496      18    15062794240  99.88
    1      20       Data/single    17218666496 1073741824    18292408320      19    16136536064  99.77
    1      21       Data/single    18292408320 1073741824    19366150144      20    17210277888  99.80
    1      22       Data/single    19366150144 1073741824    20439891968      21    18284019712  99.99
    1      23       Data/single    20439891968 1073741824    21513633792      22    19357761536  99.99
    1      24       Data/single    21513633792 1073741824    22587375616      23    20431503360  99.29
    1      25       Data/single    22587375616 1073741824    23661117440      24    21505245184  99.98
    1      26       Data/single    23661117440 1073741824    24734859264      25    22578987008  99.15
    1      27       Data/single    24734859264 1073741824    25808601088      26    23652728832  99.50
    1      28       Data/single    25808601088 1073741824    26882342912      27    24726470656  99.06
    1      29       Data/single    26882342912 1073741824    27956084736      28    25800212480  99.71
    1      30       Data/single    27956084736 1073741824    29029826560      29    26873954304  99.74
    1      31       Data/single    29029826560 1073741824    30103568384      30    27947696128  99.76
    1      32       Data/single    30103568384 1073741824    31177310208      31    29021437952  99.60
    1      33       Data/single    31177310208 1073741824    32251052032      32    30095179776  99.31
